binomial,source,source_says_relation,source_says_accepted_parent,source_record_id,authority,synonym_type,contest_class,contest_reason,evidence,n_sources_accepted,n_sources_synonym,all_claimed_parents,name_full
Lissochilus mechowii,wfo,synonym_of,Eulophia orthoplectra,wfo-0000229399,Rchb.f.,Unknown,parent_contested,"all 2 source(s) place it in Eulophia orthoplectra, but Eulophia orthoplectra is itself contested",explicit,0,2,Eulophia orthoplectra,Lissochilus mechowii Rchb.f.
Lissochilus milanjeanus,wcvp,synonym_of,Eulophia orthoplectra,113994,Rendle,Heterotypic,parent_contested,"all 1 source(s) place it in Eulophia orthoplectra, but Eulophia orthoplectra is itself contested",explicit,0,1,Eulophia orthoplectra,Lissochilus milanjeanus Rendle
Lissochilus milanjianus,wfo,synonym_of,Eulophia orthoplectra,wfo-0000229406,Rendle,Unknown,parent_contested,"all 1 source(s) place it in Eulophia orthoplectra, but Eulophia orthoplectra is itself contested",explicit,0,1,Eulophia orthoplectra,Lissochilus milanjianus Rendle
Lissochilus mildbraedii,wcvp,synonym_of,Eulophia angolensis,113995,Kraenzl.,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus mildbraedii Kraenzl.
Lissochilus mildbraedii,wfo,synonym_of,Eulophia angolensis,wfo-0000229407,Kraenzl.,Unknown,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus mildbraedii Kraenzl.
Lissochilus mildbraedii,user_synonyms,synonym_of,Eulophia angolensis,14376,,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus mildbraedii
Lissochilus monticola,wcvp,synonym_of,Eulophia orthoplectra,113999,Rendle,Heterotypic,parent_contested,"all 2 source(s) place it in Eulophia orthoplectra, but Eulophia orthoplectra is itself contested",explicit,0,2,Eulophia orthoplectra,Lissochilus monticola Rendle
Lissochilus monticola,wfo,synonym_of,Eulophia orthoplectra,wfo-0000229411,Rendle,Unknown,parent_contested,"all 2 source(s) place it in Eulophia orthoplectra, but Eulophia orthoplectra is itself contested",explicit,0,2,Eulophia orthoplectra,Lissochilus monticola Rendle
Lissochilus orthoplectrus,wcvp,synonym_of,Eulophia orthoplectra,114008,Rchb.f.,Homotypic,parent_contested,"all 2 source(s) place it in Eulophia orthoplectra, but Eulophia orthoplectra is itself contested",explicit,0,2,Eulophia orthoplectra,Lissochilus orthoplectrus Rchb.f.
Lissochilus orthoplectrus,wfo,synonym_of,Eulophia orthoplectra,wfo-0000229422,Rchb.f.,Unknown,parent_contested,"all 2 source(s) place it in Eulophia orthoplectra, but Eulophia orthoplectra is itself contested",explicit,0,2,Eulophia orthoplectra,Lissochilus orthoplectrus Rchb.f.
Lissochilus paludicola,wcvp,synonym_of,Eulophia angolensis,114011,Rchb.f.,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus paludicola Rchb.f.
Lissochilus paludicola,wfo,synonym_of,Eulophia angolensis,wfo-0000229426,Rchb.f.,Unknown,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus paludicola Rchb.f.
Lissochilus paludicola,user_synonyms,synonym_of,Eulophia angolensis,14385,,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus paludicola
Lissochilus platypterus,wcvp,synonym_of,Eulophia angolensis,114023,Rchb.f.,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus platypterus Rchb.f.
Lissochilus platypterus,wfo,synonym_of,Eulophia angolensis,wfo-0000229439,Rchb.f.,Unknown,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus platypterus Rchb.f.
Lissochilus platypterus,user_synonyms,synonym_of,Eulophia angolensis,14382,,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus platypterus
Lissochilus pulchellus,wcvp,synonym_of,Eulophia clitellifera,114025,Rendle,Heterotypic,parent_conflict,"placed in 2 different parents: Eulophia clitellifera, Eulophia clitellifer",explicit,0,3,Eulophia clitellifera|Eulophia clitellifer,Lissochilus pulchellus Rendle
Lissochilus pulchellus,wfo,synonym_of,Eulophia clitellifer,wfo-0000229441,Rendle,Unknown,parent_conflict,"placed in 2 different parents: Eulophia clitellifera, Eulophia clitellifer",explicit,0,3,Eulophia clitellifera|Eulophia clitellifer,Lissochilus pulchellus Rendle
Lissochilus pulchellus,user_synonyms,synonym_of,Eulophia clitellifera,14417,,Heterotypic,parent_conflict,"placed in 2 different parents: Eulophia clitellifera, Eulophia clitellifer",explicit,0,3,Eulophia clitellifera|Eulophia clitellifer,Lissochilus pulchellus
Lissochilus pulcher,wcvp,synonym_of,Eulophia orthoplectra|Eulophia pulchra,114026,Schltr.,Heterotypic,parent_conflict,"placed in 2 different parents: Eulophia orthoplectra, Eulophia pulchra",explicit,0,3,Eulophia orthoplectra|Eulophia pulchra,Lissochilus pulcher Schltr.
Lissochilus pulcher,wfo,synonym_of,Eulophia orthoplectra|Eulophia pulchra,wfo-0000229442,Schltr.,Unknown,parent_conflict,"placed in 2 different parents: Eulophia orthoplectra, Eulophia pulchra",explicit,0,3,Eulophia orthoplectra|Eulophia pulchra,Lissochilus pulcher Schltr.
Lissochilus pulcher,user_synonyms,synonym_of,Eulophia pulchra,3917,,Homotypic,parent_conflict,"placed in 2 different parents: Eulophia orthoplectra, Eulophia pulchra",explicit,0,3,Eulophia orthoplectra|Eulophia pulchra,Lissochilus pulcher
Lissochilus ramosus,wcvp,synonym_of,Eulophia ramosa,114031,(Ridl.) H.Perrier,Homotypic,parent_contested,"all 3 source(s) place it in Eulophia ramosa, but Eulophia ramosa is itself contested",explicit,0,3,Eulophia ramosa,Lissochilus ramosus (Ridl.) H.Perrier
Lissochilus ramosus,wfo,synonym_of,Eulophia ramosa,wfo-0000229448,(Ridl.) H.Perrier,Unknown,parent_contested,"all 3 source(s) place it in Eulophia ramosa, but Eulophia ramosa is itself contested",explicit,0,3,Eulophia ramosa,Lissochilus ramosus (Ridl.) H.Perrier
Lissochilus ramosus,user_synonyms,synonym_of,Eulophia ramosa,18085,,Homotypic,parent_contested,"all 3 source(s) place it in Eulophia ramosa, but Eulophia ramosa is itself contested",explicit,0,3,Eulophia ramosa,Lissochilus ramosus
Lissochilus rehmannii,wcvp,synonym_of,Eulophia clitellifera,114032,Rolfe,Heterotypic,parent_conflict,"placed in 2 different parents: Eulophia clitellifera, Eulophia clitellifer",explicit,0,3,Eulophia clitellifera|Eulophia clitellifer,Lissochilus rehmannii Rolfe
Lissochilus rehmannii,wfo,synonym_of,Eulophia clitellifer,wfo-0000229449,Rolfe,Unknown,parent_conflict,"placed in 2 different parents: Eulophia clitellifera, Eulophia clitellifer",explicit,0,3,Eulophia clitellifera|Eulophia clitellifer,Lissochilus rehmannii Rolfe
Lissochilus rehmannii,user_synonyms,synonym_of,Eulophia clitellifera,14421,,Heterotypic,parent_conflict,"placed in 2 different parents: Eulophia clitellifera, Eulophia clitellifer",explicit,0,3,Eulophia clitellifera|Eulophia clitellifer,Lissochilus rehmannii
Lissochilus rendlei,wcvp,synonym_of,Eulophia speciosa,114033,Rolfe,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia speciosa, but Eulophia speciosa is itself contested",explicit,0,3,Eulophia speciosa,Lissochilus rendlei Rolfe
Lissochilus rendlei,wfo,synonym_of,Eulophia speciosa,wfo-0000229450,Rolfe,Unknown,parent_contested,"all 3 source(s) place it in Eulophia speciosa, but Eulophia speciosa is itself contested",explicit,0,3,Eulophia speciosa,Lissochilus rendlei Rolfe
Lissochilus rendlei,user_synonyms,synonym_of,Eulophia speciosa,14533,,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia speciosa, but Eulophia speciosa is itself contested",explicit,0,3,Eulophia speciosa,Lissochilus rendlei
Lissochilus roseolabius,wcvp,synonym_of,Eulophia friderici,114036,Schltr.,Heterotypic,parent_conflict,"placed in 2 different parents: Eulophia friderici, Eulophia fridericii",explicit,0,2,Eulophia friderici|Eulophia fridericii,Lissochilus roseolabius Schltr.
Lissochilus roseolabius,wfo,synonym_of,Eulophia fridericii,wfo-0000229453,Schltr.,Unknown,parent_conflict,"placed in 2 different parents: Eulophia friderici, Eulophia fridericii",explicit,0,2,Eulophia friderici|Eulophia fridericii,Lissochilus roseolabius Schltr.
Lissochilus saccatus,wcvp,synonym_of,Eulophia orthoplectra,114041,Rendle,Heterotypic,parent_contested,"all 2 source(s) place it in Eulophia orthoplectra, but Eulophia orthoplectra is itself contested",explicit,0,2,Eulophia orthoplectra,Lissochilus saccatus Rendle
Lissochilus saccatus,wfo,synonym_of,Eulophia orthoplectra,wfo-0000229459,Rendle,Unknown,parent_contested,"all 2 source(s) place it in Eulophia orthoplectra, but Eulophia orthoplectra is itself contested",explicit,0,2,Eulophia orthoplectra,Lissochilus saccatus Rendle
Lissochilus sapinii,wcvp,synonym_of,Eulophia speciosa,114043,De Wild.,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia speciosa, but Eulophia speciosa is itself contested",explicit,0,3,Eulophia speciosa,Lissochilus sapinii De Wild.
Lissochilus sapinii,wfo,synonym_of,Eulophia speciosa,wfo-0000229461,De Wild.,Unknown,parent_contested,"all 3 source(s) place it in Eulophia speciosa, but Eulophia speciosa is itself contested",explicit,0,3,Eulophia speciosa,Lissochilus sapinii De Wild.
